# Hexagonal side 5mm, cell height 20mm, TM diameter 1mm
# Vcathode   diaFe    dTmFe    Vfocus     nAll 1mm 2mm
-1000.000000 7.000000 7.000000 -900.000000 271 37 140
-1000.000000 7.000000 7.000000 -800.000000 271 19 81
-1000.000000 7.000000 7.000000 -700.000000 271 13 55
-1000.000000 7.000000 7.000000 -600.000000 271 7 35
-1000.000000 7.000000 7.000000 -500.000000 271 7 21
-1000.000000 7.000000 7.000000 -400.000000 271 7 19
-1000.000000 7.000000 7.000000 -300.000000 271 1 9
-1000.000000 7.000000 7.000000 -200.000000 271 1 7
-1000.000000 7.000000 7.000000 -100.000000 271 1 5
-1000.000000 7.000000 8.000000 -900.000000 271 33 121
-1000.000000 7.000000 8.000000 -800.000000 271 19 65
-1000.000000 7.000000 8.000000 -700.000000 271 11 39
-1000.000000 7.000000 8.000000 -600.000000 271 7 31
-1000.000000 7.000000 8.000000 -500.000000 271 7 19
-1000.000000 7.000000 8.000000 -400.000000 271 5 13
-1000.000000 7.000000 8.000000 -300.000000 271 1 7
-1000.000000 7.000000 8.000000 -200.000000 271 1 7
-1000.000000 7.000000 8.000000 -100.000000 271 1 1
-1000.000000 8.000000 1.000000 -900.000000 271 35 131
-1000.000000 8.000000 1.000000 -800.000000 271 27 100
-1000.000000 8.000000 1.000000 -700.000000 271 21 87
-1000.000000 8.000000 1.000000 -600.000000 271 19 67
-1000.000000 8.000000 1.000000 -500.000000 271 17 57
-1000.000000 8.000000 1.000000 -400.000000 271 9 41
-1000.000000 8.000000 1.000000 -300.000000 271 7 35
-1000.000000 8.000000 1.000000 -200.000000 271 7 23
-1000.000000 8.000000 1.000000 -100.000000 271 7 19
-1000.000000 8.000000 2.000000 -900.000000 271 39 165
-1000.000000 8.000000 2.000000 -800.000000 271 35 123
-1000.000000 8.000000 2.000000 -700.000000 271 23 95
-1000.000000 8.000000 2.000000 -600.000000 271 19 70
-1000.000000 8.000000 2.000000 -500.000000 271 17 56
-1000.000000 8.000000 2.000000 -400.000000 271 9 39
-1000.000000 8.000000 2.000000 -300.000000 271 7 31
-1000.000000 8.000000 2.000000 -200.000000 271 7 19
-1000.000000 8.000000 2.000000 -100.000000 271 5 13
-1000.000000 8.000000 3.500000 -900.000000 271 39 162
-1000.000000 8.000000 3.500000 -800.000000 271 31 117
-1000.000000 8.000000 3.500000 -700.000000 271 19 83
-1000.000000 8.000000 3.500000 -600.000000 271 18 59
